clo_code,course_code,description,pi_code,plo_code,assessment_level,bloom_level,weight,keywords,assessment_methods
CLO 1_AET3217,AET3217,"Hiểu và  có kiến thức cơ bản về cấu tạo, nguyên lý làm việc của các cụm tổng thành  của ô tô và có khả năng thiết kế tối ưu các cụm cơ bản của ô tô.",PI4.2,PLO4,PI4.2,2,1.0,"['kiến', 'hiểu', 'việc', 'năng', 'thức', 'thiết', 'nguyên', 'tổng', 'thành']",[]
CLO 2_AET3217,AET3217,"Vận dụng kiến thức có khả năng tính toán thiết kế các chi tiết, cụm, tổng thành hệ thống thuộc gầm ô tô",PI5.2,PLO5,PI5.2,3,1.0,"['toán', 'tính', 'thuộc', 'tiết', 'dụng', 'năng', 'thức', 'thiết', 'thống', 'kiến']",[]
CLO 3_AET3217,AET3217,"Phân tích được cấu tạo, nguyên lý làm việc của các hệ thống, tổng thành; vận dụng được các kiến thức để tính toán, thiết kế một số chi tiết, cụm, tổng thành, hệ thống thuộc gầm ô tô.",PI11.1,PLO11,PI11.1,3,1.0,"['kiến', 'toán', 'việc', 'tính', 'tích', 'thuộc', 'tiết', 'dụng', 'phân', 'thức']",[]
CLO 4_AET3217,AET3217,"Có ý thức, thái độ cầu thị, nghiêm túc, thực hiện đúng các nội quy, quy chế. Từ đó, hình thành tác phong làm việc chuyên nghiệp.","PI12.3
PI12.4",PLO12,"PI12.3
PI12.4",3,1.0,"['hình', 'nghiêm', 'nghiệp', 'việc', 'thái', 'chuyên', 'đúng', 'phong', 'thức', 'thực']",[]
CLO 1_AET3218,AET3218,"Nhận biết về cấu tạo của các cơ cấu, hệ thống, tổng thành trên ôtô.",PI4.1,PLO4,PI4.1,2,1.0,"['trên', 'nhận', 'biết', 'thống', 'tổng', 'thành']",[]
CLO 2_AET3218,AET3218,"Hiểu được về cấu tạo, nguyên lý làm việc của các hệ thống, cơ cấu, tổng thành trên ôtô","PI6.1
PI6.2",PLO6,"PI6.1
PI6.2",2,1.0,"['trên', 'hiểu', 'việc', 'thống', 'nguyên', 'tổng', 'thành']",[]
CLO 3_AET3218,AET3218,"Giải thích và lập luận về cấu tạo, nguyên lý làm việc của các cơ cấu, hệ thống, tổng thành trên ôtô.",PI6.1,PLO6,PI6.1,2,1.0,"['trên', 'giải', 'luận', 'việc', 'thống', 'thích', 'nguyên', 'tổng', 'thành']",[]
CLO 4_AET3218,AET3218,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề","PI12.3 
PI12.4",PLO12,"PI12.3 
PI12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_AET3219,AET3219,Hiểu được các kỹ thuật điện cơ bản,PI4.1,PLO4,PI4.1,2,1.0,"['thuật', 'điện', 'hiểu']",[]
CLO 2_AET3219,AET3219,"Khái quát chung các cơ cấu, hệ thống trang bị điện cơ bản và điều khiển tự động trên xe ô tô.",PI4.2,PLO4,PI4.2,2,1.0,"['trang', 'động', 'khái', 'quát', 'chung', 'điều', 'khiển', 'thống', 'điện', 'trên']",[]
CLO 3_AET3219,AET3219,"Mô tả được cấu tạo, nguyên lý hoạt động của các cơ cấu, hệ thống  trang bị điện cơ bản trên ô tô.",PI4.1,PLO4,PI4.1,2,1.0,"['trang', 'động', 'hoạt', 'thống', 'điện', 'nguyên', 'trên']",[]
CLO 4_AET3219,AET3219,"Giải thích được các hiện tượng, nguyên nhân hư hỏng của các cơ cấu, hệ thống trang bị điện- điện tử trên ô tô.  Áp dụng các kiến thức đã học để kiểm tra, sửa chữa các hệ thống điện – điện tử trên  ô tô","PI4.1
PI4.2",PLO4,"PI4.1
PI4.2",2,1.0,"['trang', 'giải', 'trên', 'kiến', 'tượng', 'dụng', 'thức', 'nhân', 'hỏng', 'thống']",[]
CLO 5_AET3219,AET3219,"Áp dụng các kiến thức đã học để kiểm tra, sửa chữa các hệ thống điện – điện tử trên  ô tô","PI5.1
PI5.2",PLO5,"PI5.1
PI5.2",3,1.0,"['điện', 'dụng', 'thức', 'thống', 'chữa', 'kiểm', 'kiến', 'trên']",[]
CLO 6_AET3219,AET3219,"Kỹ năng chuyên nghiệp, phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề.","PI12.2 
PI12.3",PLO12,"PI12.2 
PI12.3",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO1_,,"Hiểu rõ các nguyên lý cơ bản của chủ nghĩa Mác - Lênin, đường lối cách mạng của Đảng Cộng sản Việt Nam, tư tưởng Hồ Chí Minh; chính sách, pháp luật của Nhà nước.",,,,2,1.0,"['đảng', 'pháp', 'đường', 'nước', 'hiểu', 'mạng', 'việt', 'nghĩa', 'tưởng', 'chính']",[]
CLO2_,,"Vận dụng kiến thức về khoa học tự nhiên, xã hội, Ngoại ngữ, tin học vào lĩnh vực chuyên môn, nghề nghiệp.",,,,3,1.0,"['nghiệp', 'chuyên', 'lĩnh', 'khoa', 'dụng', 'thức', 'nghề', 'nhiên', 'ngoại', 'kiến']",[]
CLO3_,,Hoàn thành kiến thức Quốc phòng - an ninh và Giáo dục thể chất để tự rèn luyện về tinh thần và thể chất.,,,,2,1.0,"['luyện', 'hoàn', 'phòng', 'chất', 'quốc', 'giáo', 'tinh', 'thức', 'ninh', 'thần']",[]
CLO4_,,"Khả năng áp dụng, xây dựng và giải quyết các vấn đề kỹ thuật trong lĩnh vực công nghệ kỹ thuật ô tô bằng cách áp dụng các kiến thức khoa học. kỹ thuật, toán học, vật lý.",,,,3,1.0,"['giải', 'toán', 'dựng', 'lĩnh', 'thuật', 'công', 'bằng', 'khoa', 'dụng', 'năng']",[]
CLO5_,,"Khả năng phát triển và tiến hành thực hành, phân tích, giải thích dữ liệu, sử dụng đánh giá kỹ thuật để đưa ra các kết luận cho các vấn đề chuyên môn trong lĩnh vực công nghệ kỹ thuật ô tô.",,,,2,1.0,"['tiến', 'chuyên', 'công', 'phân', 'thích', 'liệu', 'đánh', 'luận', 'tích', 'thuật']",[]
CLO6_,,"Năng lực chuyên môn để có thể tham gia thiết kế, chế tạo, vận hành, bảo trì, bảo dưỡng, sửa chữa ô tô truyền thống, xe ô tô điện và các chi tiết, phụ tùng của ô tô; Định hướng xây dựng các giải pháp công nghệ,
 kỹ thuật cho các lĩnh vực liên quan đến ngành ôtô",,,,6,1.0,"['dưỡng', 'chuyên', 'dựng', 'công', 'ngành', 'chữa', 'định', 'hướng', 'thuật', 'tiết']",[]
CLO7_,,"Vận dụng tốt các kỹ năng: giao tiếp, thuyết trình, đàm phán, xác định mục tiêu và lập kế hoạch, xử lý linh hoạt các tình huống trong lĩnh vực chuyên môn.",,,,1,1.0,"['thuyết', 'chuyên', 'huống', 'lĩnh', 'tiêu', 'hoạt', 'dụng', 'năng', 'linh', 'trình']",[]
CLO8_,,"Có kỹ năng làm việc nhóm, tư duy hệ thống, phân tích, phản biện, tổng hợp, dự báo, quản lý, dẫn dắt và giải quyết vấn đề trong các hoạt động chuyên môn.",,,,3,1.0,"['giải', 'động', 'quản', 'phản', 'việc', 'chuyên', 'tích', 'hoạt', 'năng', 'phân']",[]
CLO9_,,"Sử dụng được Tiếng Anh cơ bản, tin học văn phòng, tin học ứng dụng trong lĩnh vực chuyên môn.",,,,3,1.0,"['chuyên', 'phòng', 'dụng', 'tiếng', 'lĩnh']",[]
CLO10_,,"Đọc hiểu và xây dựng được bản vẽ kỹ thuật; Khai thác, vận hành, quản lý; Bảo trì, bảo dưỡng, sửa chữa; Tư vấn, chuyển giao công nghệ về lĩnh vực ngành công nghệ kỹ thuật ô tô.",,,,2,1.0,"['ngành', 'dưỡng', 'hiểu', 'dựng', 'công', 'thuật', 'khai', 'chuyển', 'thác', 'hành']",[]
CLO11_,,"Tính toán, lập báo cáo, thuyết trình, phản biện, tổ chức công việc cá nhân; lập kế hoạch, điều phối công việc khi làm việc nhóm",,,,3,1.0,"['chức', 'thuyết', 'phản', 'toán', 'tính', 'công', 'việc', 'điều', 'nhóm', 'nhân']",[]
CLO12_,,"Có phẩm chất đạo đức nghề nghiệp, tinh thần học tập nghiêm túc, năng lực nghiên cứu độc lập, tư duy sáng tạo, thích nghi nhanh với sự thay đổi của môi trường, có khả năng định hướng và tìm kiếm cơ hội phát triển nghề nghiệp, thực hiện tốt trách nhiệm công dân.",,,,6,1.0,"['sáng', 'công', 'chất', 'trường', 'nhanh', 'nghi', 'thích', 'định', 'thần', 'thay']",[]
CLO 1_ME2201,ME2201,"Nhận biết và hình thành quan điểm nghề nghiệp, Định hướng nghề nghiệp, giúp cho sinh viên hiểu biết về công việc sẽ làm sau khi tốt nghiệp nhằm nâng cao lòng yêu nghề và tinh thần học tập;",PI 2.1,PLO2,PI 2.1,2,1.0,"['việc', 'công', 'sinh', 'định', 'thần', 'thành', 'lòng', 'hướng', 'điểm', 'nhận']",[]
CLO 2_ME2201,ME2201,"Hiểu sơ bộ các kiến thức cơ bản liên quan đến ngành công nghệ kỹ thuật ôtô, kiến thức tổng quan về ôtô;",PI 4.1,PLO4,PI 4.1,2,1.0,"['hiểu', 'công', 'thuật', 'thức', 'nghệ', 'quan', 'ngành', 'kiến', 'tổng', 'liên']",[]
CLO 3_ME2201,ME2201,Nắm bắt tốt nội dung chương trình của khóa học giúp sinh viên có thể dễ dàng nắm rõ lộ trình học tập của mình trong quá trình học tại trường.,PI 12.2,PLO12,PI 12.2,2,1.0,"['mình', 'viên', 'giúp', 'khóa', 'dàng', 'trường', 'dung', 'sinh', 'trình', 'chương']",[]
CLO 4_ME2201,ME2201,"Có ý thức, thái độ học tập nghiêm túc, tích cực.",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_,,"Hiểu rõ các khái niệm, các định nghĩa và tính chất cơ bản của các phép chiếu",PI 4.3,PLO4,PI 4.3,1,1.0,"['hiểu', 'tính', 'khái', 'chất', 'phép', 'chiếu', 'niệm', 'định', 'nghĩa']",[]
CLO 2_,,"Nắm vững các quy tắc biểu diễn các yếu tố cơ bản trong không gian: Điểm, đường thẳng, mặt phẳng, đường cong và các mặt. Sử dụng nhuần nhuyễn phương pháp hai hình chiếu vuông góc để giải quyết các bài toán về vị trí và các bài toán về lượng",PI 4.3,PLO4,PI 4.3,3,1.0,"['vững', 'đường', 'diễn', 'lượng', 'chiếu', 'phẳng', 'toán', 'điểm', 'cong', 'gian']",[]
CLO 3_,,"Có tư duy không gian, vẽ được chính xác các bài toán tìm giao tuyến",PI 4.3,PLO4,PI 4.3,2,1.0,"['toán', 'chính', 'tuyến', 'giao', 'gian', 'không']",[]
CLO 4_,,"Có ý thức, thái độ học tập nghiêm túc. Rèn luyện tác phong khoa học,  kiên nhẫn, tỷ mỷ, chính xác của người kỹ sư thiết kế.",PI 12.4,PLO12,PI 12.4,2,1.0,"['nghiêm', 'thái', 'ngươ', 'khoa', 'phong', 'thiê', 'luyê', 'thức', 'kiên']",[]
CLO 1_,,"Hiểu rõ các khái niệm cơ bản trong AutoCAD, công dụng và các ứng dụng của phần mềm trong vẽ thiết kế",PI 4.3,PLO4,PI 4.3,2,1.0,"['hiểu', 'công', 'phần', 'khái', 'dụng', 'thiết', 'niệm', 'autocad']",[]
CLO 2_,,"Thông thuộc các lệnh vẽ, các lệnh chỉnh sửa, cách tạo Layer, tạo khối Block, tạo mảng Array. Biết hình thành bản vẽ trên các Model và Layout",PI 4.3,PLO4,PI 4.3,2,1.0,"['layer', 'hình', 'chỉnh', 'lệnh', 'thuộc', 'khối', 'block', 'array', 'layout', 'thông']",[]
CLO 3_,,"Có kỹ năng sử dụng máy tính, làm chủ phần mềm thiết kế để hoàn thiện các bản vẽ 2D",PI 4.3,PLO4,PI 4.3,3,1.0,"['hoàn', 'phần', 'tính', 'dụng', 'năng', 'thiết', 'thiện']",[]
CLO 4_,,"Có ý thức, thái độ học tập nghiêm túc. Rèn luyện tác phong khoa học, kiên nhẫn, tỷ mỷ, chính xác của người kỹ sư thiết kế.",PI 12.4,PLO12,PI 12.4,2,1.0,"['nghiêm', 'thái', 'ngươ', 'khoa', 'phong', 'thiê', 'luyê', 'thức', 'kiên']",[]
CLO 1_ME2205,ME2205,Hiểu rõ các hệ về lực cơ học,PI 4.1,PLO4,PI 4.1,2,1.0,['hiểu'],[]
CLO 2_ME2205,ME2205,Sử dụng và lựa chọn tính toán xây dựng mô hình lực và cân bằng lực để giải quyết bài toán về lực,PI 4.2,PLO4,PI 4.2,3,1.0,"['hình', 'giải', 'toán', 'dựng', 'tính', 'bằng', 'dụng', 'chọn', 'quyết']",[]
CLO 3_ME2205,ME2205,"Có tư duy phân tích và tính toán, thiết kế các tham số kỹ thuật của bài toán cơ học, tĩnh học, động học và động lực học",PI 10.1,PLO10,PI 10.1,3,1.0,"['động', 'toán', 'tĩnh', 'tính', 'tích', 'thuật', 'phân', 'tham', 'thiết']",[]
CLO 4_ME2205,ME2205,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.1,PLO12,PI 12.1,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2253,ME2253,"Hiểu rõ và mô tả được nguyên lý cấu tạo, động học và động lực học của cơ cấu và máy",PI 4.1,PLO4,PI 4.1,2,1.0,"['động', 'nguyên', 'hiểu']",[]
CLO 2_ME2253,ME2253,Sử dụng và lựa chọn đúng cơ cấu máy phù hợp với nguyên lý và khả năng làm việc,PI 5.1,PLO5,PI 5.1,3,1.0,"['việc', 'đúng', 'dụng', 'năng', 'chọn', 'nguyên']",[]
CLO 3_ME2253,ME2253,"Có tư duy phân tích, tính toán, thiết kế và tổng hợp một số cơ cấu máy (động học, động lực học, cơ cấu cam, hệ bánh răng)",PI 10.2,PLO10,PI 10.2,6,1.0,"['động', 'toán', 'tính', 'tích', 'bánh', 'răng', 'phân', 'thiết', 'tổng']",[]
CLO 4_ME2253,ME2253,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2208,ME2208,Hiểu rõ được các thông số kỹ thuật của chi tiết máy,PI 4.1,PLO4,PI 4.1,2,1.0,"['thuật', 'tiết', 'thông', 'hiểu']",[]
CLO 2_ME2208,ME2208,Sử dụng và lựa chọn đúng các thông số kỹ thuật của chi tiết máy,PI 4.2,PLO4,PI 4.2,3,1.0,"['thuật', 'đúng', 'tiết', 'dụng', 'thông', 'chọn']",[]
CLO 3_ME2208,ME2208,"Có tư duy tính toán, thiết kế được một chi tiết máy cụ thể",PI 6.2,PLO6,PI 6.2,3,1.0,"['thiết', 'toán', 'tiết', 'tính']",[]
CLO 4_ME2208,ME2208,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2254,ME2254,Hiểu rõ được các kiến thức đã học để có thể áp dụng vào thực tế,PI 4.1,PLO4,PI 4.1,2,1.0,"['hiểu', 'dụng', 'thức', 'thực', 'kiến']",[]
CLO 2_ME2254,ME2254,"Sử dụng và lựa chọn đúng các thông số kỹ thuật của chi tiết máy, cơ cấu máy",PI 4.2,PLO4,PI 4.2,3,1.0,"['thuật', 'đúng', 'tiết', 'dụng', 'thông', 'chọn']",[]
CLO 3_ME2254,ME2254,"Có tư duy tính toán, thiết kế đảm bảo các yêu cầu kỹ thuật của một số cơ cấu máy theo yêu cầu",PI 6.2,PLO6,PI 6.2,3,1.0,"['toán', 'tính', 'thuật', 'theo', 'thiết']",[]
CLO 4_ME2254,ME2254,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2255,ME2255,"Hiểu rõ được các kích thước, dung sai kích thước chi tiết, nguyên lý cấu tạo các loại dụng cụ đo",PI 4.1,PLO4,PI 4.1,2,1.0,"['nguyên', 'hiểu', 'tiết', 'dụng', 'dung', 'loại', 'thước', 'kích']",[]
CLO 2_ME2255,ME2255,"Sử dụng và lựa chọn đúng các kích thước, dung sai kích thước để áp dụng giải các bài toán liên quan đến kích thước. Biết sử dụng các dụng cụ đo cơ bản, bảo quản đúng cách các dụng cụ đo",PI 5.1,PLO5,PI 5.1,3,1.0,"['giải', 'toán', 'đúng', 'dụng', 'dung', 'quan', 'chọn', 'biết', 'thước', 'cách']",[]
CLO 3_ME2255,ME2255,"Có tư duy tính toán giải các bài toán về lắp ghép,  xây dựng chuỗi kích thước và đo được hình dạng các chi tiết",PI 8.2,PLO8,PI 8.2,3,1.0,"['giải', 'hình', 'toán', 'dựng', 'tính', 'chuỗi', 'tiết', 'ghép', 'thước', 'dạng']",[]
CLO 4_ME2255,ME2255,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2259,ME2259,Hiểu rõ được mối quan hệ giữa cấu trúc và các tính chất của vật liệu,PI 4.1,PLO4,PI 4.1,2,1.0,"['hiểu', 'tính', 'chất', 'trúc', 'liệu', 'quan', 'giữa']",[]
CLO 2_ME2259,ME2259,"Sử dụng và lựa chọn được vật liệu hiệu quả trong công việc từ thiết kế, tính toán gia công, lắp ráp, vận hành",PI 5.1,PLO5,PI 5.1,3,1.0,"['hiệu', 'toán', 'việc', 'công', 'tính', 'dụng', 'thiết', 'hành', 'chọn', 'liệu']",[]
CLO 3_ME2259,ME2259,"Có tư duy phân tích được quá trình thay đổi cấu trúc, trạng thái, tính chất của vật liệu khi có tác dụng của nhiệt độ, áp lực của nhiệt luyện",PI 6.2,PLO6,PI 6.2,4,1.0,"['trạng', 'thay', 'thái', 'tích', 'tính', 'chất', 'trúc', 'dụng', 'nhiệt', 'phân']",[]
CLO 4_ME2259,ME2259,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2212,ME2212,Hiểu rõ được các phương pháp gia công nóng và gia công cắt gọt kim loại,PI 4.2,PLO4,PI 4.2,2,1.0,"['pháp', 'hiểu', 'công', 'phương', 'nóng', 'loại']",[]
CLO 2_ME2212,ME2212,Sử dụng và lựa chọn được vật liệu dùng trong gia công cơ khí và chế độ gia công phù hợp kèm theo,PI 5.2,PLO5,PI 5.2,3,1.0,"['công', 'dụng', 'theo', 'dùng', 'chọn', 'liệu']",[]
CLO 3_ME2212,ME2212,Có tư duy phân tích được các quá trình gia công kim loại (không tạo phoi và tạo phoi),PI 6.1,PLO6,PI 6.1,4,1.0,"['phoi', 'công', 'tích', 'phân', 'loại', 'trình', 'không']",[]
CLO 4_ME2212,ME2212,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2257,ME2257,Hiểu rõ được kết cấu và nguyên lý của các hệ thống thủy lực và khí nén,PI 4.1,PLO4,PI 4.1,2,1.0,"['thống', 'thủy', 'nguyên', 'hiểu']",[]
CLO 2_ME2257,ME2257,Sử dụng và lựa chọn đúng cơ cấu thủy lực và khí nén phù hợp với yêu cầu của thực tế,PI 4.3,PLO4,PI 4.3,3,1.0,"['đúng', 'dụng', 'chọn', 'thực', 'thủy']",[]
