text,clo_code,target_score,bloom_level,keywords_found,confidence,label,metadata,split
Thiếu phân trong bài làm. phân biệt Áp dụng kiến thức ME2253 chưa chính xác không chính xác,CLO 3_ME2253,0.81,4,"['tích', 'tính']",0.656,negative,"{'template_used': 'Thiếu {concept} trong bài làm. {action} {detail} không chính xác', 'generation_method': 'synthetic_negative', 'course_code': 'ME2253', 'original_clo_description': 'Có tư duy phân tích, tính toán, thiết kế và tổng hợp một số cơ cấu máy (động học, động lực học, cơ cấu cam, hệ bánh răng)'}",train
Nội dung tính toán rõ ràng về dụng. Áp dụng kiến thức ME2208 một cách hiệu quả,CLO 2_ME2208,3.38,3,"['đúng', 'thông', 'chọn', 'thuật']",0.944,positive,"{'template_used': 'Nội dung {action} rõ ràng về {concept}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME2208', 'original_clo_description': 'Sử dụng và lựa chọn đúng các thông số kỹ thuật của chi tiết máy'}",train
Bài làm phân loại nguyên và Kết luận chính xác và có căn cứ tốt,CLO 1_ME2257,3.66,2,"['hiểu', 'nguyên', 'thủy', 'thống']",0.857,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'ME2257', 'original_clo_description': 'Hiểu rõ được kết cấu và nguyên lý của các hệ thống thủy lực và khí nén'}",train
Nội dung không kể tiếng. Sử dụng thuật ngữ chưa đúng chưa rõ ràng,CLO9_,1.82,1,[],0.654,negative,"{'template_used': 'Nội dung không {action} {concept}. {detail} chưa rõ ràng', 'generation_method': 'synthetic_negative', 'course_code': '', 'original_clo_description': 'Sử dụng được Tiếng Anh cơ bản, tin học văn phòng, tin học ứng dụng trong lĩnh vực chuyên môn.'}",train
Sinh viên đã so sánh trang xuất sắc và Phân tích dưỡng một cách logic,CLO 1_,3.27,4,"['pháp', 'phương', 'điều', 'dưỡng', 'trang']",0.861,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': '', 'original_clo_description': 'Mô tả được phương pháp tổ chức, quản lý điều hành; bố trí vận hành trang thiết bị, cơ sở vật chất của  các cơ sở kinh doanh, dịch vụ bảo dưỡng, sửa chữa.'}",train
Nội dung sáng tạo rõ ràng về thích. Áp dụng kiến thức ME3268 một cách hiệu quả,CLO 4_ME3268,3.59,6,"['chữa', 'việc', 'thích', 'trường']",0.906,positive,"{'template_used': 'Nội dung {action} rõ ràng về {concept}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME3268', 'original_clo_description': 'Có phẩm chất đạo đức nghề nghiệp,, tư duy sáng tạo, thích nghi với sự thay đổi của môi trường công việc, định hướng và tìm kiếm cơ hội phát triển nghề nghiệp trong chẩn đoán, sửa chữa ô tô.'}",train
Bài làm thiếu năng. Không liệt kê Kết luận thiếu căn cứ,CLO 1_AET3226,0.9,1,['dùng'],0.783,negative,"{'template_used': 'Bài làm thiếu {concept}. Không {action} {detail}', 'generation_method': 'synthetic_negative', 'course_code': 'AET3226', 'original_clo_description': 'Hiểu rõ chức năng vai trò các loại xe chuyên dùng trong ngành giao thông vận tải'}",train
Sinh viên chưa phân loại phương. Không hiểu rõ về dung không đầy đủ,CLO 2_,1.47,2,"['truyê', 'chuâ']",0.662,negative,"{'template_used': 'Sinh viên chưa {action} {concept}. {detail} không đầy đủ', 'generation_method': 'synthetic_negative', 'course_code': '', 'original_clo_description': 'Sử dụng các kiến thức Hình họa và các Tiêu chuẩn để vẽ các bản vẽ biểu diễn vật thể, các bản vẽ chi tiết bằng cách sử dụng dụng cụ và vật liệu vẽ. Hiểu các khái niệm dung sai, nhám bề mặt, các quy ước về vẽ mối ghép, các phương pháp truyền động… để trình bày trong các bản vẽ lắp và bản vẽ chi tiết.'}",train
Sinh viên đã tính toán liên hoàn chỉnh và Thể hiện hiểu biết sâu sắc về thái,CLO 2_ME2206,3.06,3,"['liên', 'thái', 'trạng', 'dụng', 'chọn']",0.913,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME2206', 'original_clo_description': 'Sử dụng và lựa chọn đúng các đặc trưng, trạng thái cơ học liên quan đến sức bền vật liệu'}",train
Sinh viên đã vận dụng lĩnh chính xác và Thể hiện hiểu biết sâu sắc về thuật,CLO2_AET3227,3.35,3,"['dựng', 'thuật', 'giải', 'dụng']",0.915,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3227', 'original_clo_description': 'Khả năng áp dụng, xây dựng và giải quyết các vấn đề kỹ thuật trong lĩnh vực lắp ráp ô tô.'}",train
Sinh viên chưa phân loại chọn. Phân tích dụng còn hạn chế không đầy đủ,CLO 2_ME2212,0.59,2,[],0.612,negative,"{'template_used': 'Sinh viên chưa {action} {concept}. {detail} không đầy đủ', 'generation_method': 'synthetic_negative', 'course_code': 'ME2212', 'original_clo_description': 'Sử dụng và lựa chọn được vật liệu dùng trong gia công cơ khí và chế độ gia công phù hợp kèm theo'}",train
Bài làm tính toán toán và Sử dụng thuật ngữ chuyên môn đúng đắn xuất sắc,CLO 2_AET3217,3.21,3,"['toán', 'dụng', 'thức']",0.903,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3217', 'original_clo_description': 'Vận dụng kiến thức có khả năng tính toán thiết kế các chi tiết, cụm, tổng thành hệ thống thuộc gầm ô tô'}",train
Thiếu tách trong bài làm. so sánh Kết luận cơ bản không chính xác,CLO4_,2.82,2,"['tách', 'thay']",0.79,neutral,"{'template_used': 'Thiếu {concept} trong bài làm. {action} {detail} không chính xác', 'generation_method': 'synthetic_neutral', 'course_code': '', 'original_clo_description': ') và bố cục thành các chương như sau: Chương 1. Khái niệm chung về bản vẽ điện, điện tử: 3 (02 LT; 01 BT) Chương 2. Các ký hiệu, quy ước dùng trong bản vẽ điện, điện tử: 09 (06 LT; 03 BT) Chương 3. Vẽ sơ đồ điện: 12 (09 LT; 03 BT) Chương 4. Nguyên tắc chuyển đổi các dạng sơ đồ và dự trù vật tư: 06 (03 LT; 03 BT) Cụ thể: Điều chỉnh, bổ sung nội dung - Vẽ các ký hiệu điện, điện tử trong sơ đồ cung cấp điện ở chương 2 - Vẽ sơ đồ mặt bằng, sơ đồ vị trí; Vẽ sơ đồ nối dây; Vẽ sơ đồ đơn tuyến; Vẽ các sơ đồ điều khiển mạng điện công nghiệp ở chương 3 2. Ý kiến của các thành viên: Sau khi tìm hiểu, nghiên cứu và xem xét, các thành viên đều nhất trí với những nội dung trong cuộc họp đã được nêu ra trong quá trình xây dựng, điều chỉnh ĐCCT. Tuy nhiên cũng có một số ý kiến đóng góp xây dựng để ĐCCT hoàn thiện hơn: Ý kiến 1: Các nội dung kiến thức trong ĐCCT về cơ bản đã đáp ứng được các mục tiêu khi xây dựng chuẩn đầu ra của học phần. Tuy nhiên cần giới thiệu thêm các tài liệu tham khảo để người học dễ dàng tiếp cận. Ý kiến 2: Trong nội dung, bố cục ở các chương nên chia tách ra những tiểu mục nhỏ để người học dễ phân loại và tránh nhầm lẫn về kiến thức Ý kiến 3: Với thời lượng 2 tín chỉ có nên mở rộng thêm những kiến thức chuyên sâu liên quan đến nội dung về vẽ điện, mạch điện cụ thể không 3. Trả lời các câu hỏi đã được nêu: - Trả lời ý kiến 1: Đồng ý bổ sung thêm tài liệu tham khảo - Trả lời ý kiến 2: Ở nội dung chương 3 sẽ chia nhỏ thành các tiểu mục để dễ phân loại và tra cứu kiến thức - Trả lời ý kiến 3: Nội dung kiến thức về cơ bản đã đáp ứng được mục tiêu xây dựng chuẩn đầu ra của học phần nên không cần mở rộng thêm kiến thức chuyên sâu liên quan về vẽ điện, mạch điện cụ thể vì trong CTĐT sau khi học xong học phần này SV còn được học học phần vẽ điện, điện tử. 4. Kết luận: Sau khi nghe, tiếp thu và chỉnh sửa theo các ý kiến đóng góp của các thành viên, tổ trưởng tổ xây dựng, chỉnh sửa ĐCCT đã thay mặt các thành viên đưa ra kết luận. - Đề cương chi tiết học phần Vẽ kỹ thuật (ME2217) đạt các yêu cầu quy định đối với đề cương chi tiết học phần theo CTĐT đã ban hành - Biên bản thảo luận ĐCCT được tổ chuyên môn nhất trí thông qua là cơ sở để đề xuất lên Hội đồng KH&ĐT Nhà trường xem xét ban hành sử dụng. Phiên họp kết thúc vào hồi 11 giờ 00, ngày 21 tháng 08 năm 2023. Các thành viên trong cuộc họp 100% nhất trí theo kết luận cuộc họp.'}",train
Sinh viên giải thích nghiêm một cách đầy đủ. Sử dụng thuật ngữ chuyên môn đúng đắn,CLO 4_ME2253,3.62,2,"['thức', 'tích', 'thái']",0.871,positive,"{'template_used': 'Sinh viên {action} {concept} một cách {quality}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME2253', 'original_clo_description': 'Có ý thức, thái độ học tập nghiêm túc, tích cực'}",train
Báo cáo thể hiện thông đầy đủ. mô tả Kết luận cơ bản,CLO 2_,2.5,2,['chỉnh'],0.737,neutral,"{'template_used': 'Báo cáo thể hiện {concept} {quality}. {action} {detail}', 'generation_method': 'synthetic_neutral', 'course_code': '', 'original_clo_description': 'Thông thuộc các lệnh vẽ, các lệnh chỉnh sửa, cách tạo Layer, tạo khối Block, tạo mảng Array. Biết hình thành bản vẽ trên các Model và Layout'}",train
Nội dung áp dụng rõ ràng về chức. Áp dụng kiến thức AET3227 một cách hiệu quả,CLO4_AET3227,3.63,3,"['công', 'chức', 'toán', 'điều', 'nhóm']",0.844,positive,"{'template_used': 'Nội dung {action} rõ ràng về {concept}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3227', 'original_clo_description': 'Tính toán, lập báo cáo, thuyết trình, phản biện, tổ chức công việc cá nhân; lập kế hoạch, điều phối công việc khi làm việc nhóm'}",train
Sinh viên đã so sánh gian chi tiết và Phân tích không một cách logic,CLO 3_,3.69,2,"['không', 'gian', 'chuâ']",0.947,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': '', 'original_clo_description': 'Có tư duy không gian, hiểu biết vận dụng tốt các quy ước biểu diễn vật thể phù hợp các Tiêu chuẩn quốc gia và quốc tế'}",train
Sinh viên phân tích năng một cách chính xác. Áp dụng kiến thức  ở mức độ cơ bản,CLO 1_,2.11,4,['chức'],0.758,neutral,"{'template_used': 'Sinh viên {action} {concept} một cách {quality}. {detail}', 'generation_method': 'synthetic_neutral', 'course_code': '', 'original_clo_description': 'Nắm chắc, phân tích được chức năng, kết cấu, lắp ráp, tình hình làm việc, hoạt động của các cụm, hệ thống, cơ cấu trên xe ô tô'}",train
Bài làm thiếu hiệu. Không liệt kê Kết luận thiếu căn cứ,CLO 6_AET3219,1.12,1,[],0.661,negative,"{'template_used': 'Bài làm thiếu {concept}. Không {action} {detail}', 'generation_method': 'synthetic_negative', 'course_code': 'AET3219', 'original_clo_description': 'Kỹ năng chuyên nghiệp, phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề.'}",train
Báo cáo thể hiện trạng hoàn chỉnh. sử dụng Áp dụng kiến thức ME2206 một cách hiệu quả,CLO 2_ME2206,3.62,3,"['dụng', 'liên', 'trưng', 'đúng']",0.883,positive,"{'template_used': 'Báo cáo thể hiện {concept} {quality}. {action} {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME2206', 'original_clo_description': 'Sử dụng và lựa chọn đúng các đặc trưng, trạng thái cơ học liên quan đến sức bền vật liệu'}",train
Sinh viên chưa so sánh giải. Kết luận thiếu căn cứ không đầy đủ,CLO8_,0.4,2,['giải'],0.663,negative,"{'template_used': 'Sinh viên chưa {action} {concept}. {detail} không đầy đủ', 'generation_method': 'synthetic_negative', 'course_code': '', 'original_clo_description': 'Có kỹ năng làm việc nhóm, tư duy hệ thống, phân tích, phản biện, tổng hợp, dự báo, quản lý, dẫn dắt và giải quyết vấn đề trong các hoạt động chuyên môn.'}",train
Bài làm hiểu nguyên và Thể hiện hiểu biết sâu sắc về phân xuất sắc,CLO 1_AET3261,3.98,2,"['việc', 'tích', 'phân']",0.95,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3261', 'original_clo_description': 'Hiểu và phân tích được các loại động cơ đốt trong và nguyên lý làm việc của động cơ;'}",train
Báo cáo thể hiện tích chính xác. mô tả Thể hiện hiểu biết sâu sắc về thức,CLO 4_,3.54,2,"['thức', 'thái', 'nghiêm']",0.893,positive,"{'template_used': 'Báo cáo thể hiện {concept} {quality}. {action} {detail}', 'generation_method': 'synthetic_positive', 'course_code': '', 'original_clo_description': 'Có ý thức, thái độ học tập nghiêm túc, tích cực'}",train
Nội dung phân tích rõ ràng về kiểm. Thể hiện hiểu biết sâu sắc về tình,CLO 3_ME3271,3.64,4,"['dụng', 'pháp', 'chuẩn']",0.844,positive,"{'template_used': 'Nội dung {action} rõ ràng về {concept}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME3271', 'original_clo_description': 'Chuẩn bị, kiểm tra được tình trạng của thiết bị, dụng cụ, vật liệu hàn cho phù hợp với từng phương pháp hàn.'}",train
Bài làm sử dụng toán và Áp dụng kiến thức ME3268 một cách hiệu quả chi tiết,CLO 2_ME3268,3.72,3,"['tính', 'công', 'toán', 'điều', 'phản']",0.822,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'ME3268', 'original_clo_description': 'Tính toán, lập báo cáo, thuyết trình, phản biện công việc cá nhân; lập kế hoạch, điều phối công việc khi làm việc nhóm.'}",train
Sinh viên đã áp dụng chịu chi tiết và Kết luận chính xác và có căn cứ,CLO 3_ME2206,3.63,3,"['chuyển', 'tích', 'quan', 'chịu']",0.862,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME2206', 'original_clo_description': 'Có tư duy phân tích và tính toán được các bài toán liên quan đến sức bền vật liệu (chuyển vị, siêu tĩnh, hệ lực chịu tải động...)'}",train
Bài làm giải thích nhiệm và Thể hiện hiểu biết sâu sắc về phân tốt,CLO 2_AET3273,3.74,2,"['thống', 'nhiệm', 'loại', 'phân']",0.859,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3273', 'original_clo_description': 'Trình bày được nhiệm vụ, yêu cầu, phân loại và cấu tạo của các hệ thống động cơ, gầm, điện ôtô'}",train
Báo cáo thể hiện tính hoàn chỉnh. tính toán Kết luận chính xác và có căn cứ,CLO 3_AET3262,3.62,3,"['toán', 'thông', 'tính']",0.924,positive,"{'template_used': 'Báo cáo thể hiện {concept} {quality}. {action} {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3262', 'original_clo_description': 'Tính toán tính ổn định, kinh tế và khả năng thông qua của xe'}",train
Sinh viên so sánh hàng một cách rõ ràng. Phân tích hành một cách logic,CLO 1_AET3276,3.66,2,"['hãng', 'động', 'tiêu']",0.943,positive,"{'template_used': 'Sinh viên {action} {concept} một cách {quality}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3276', 'original_clo_description': 'Hiểu được về quản lý dịch vụ ô tô; Hiểu được quản lý nhân sự trong phòng dịch vụ; Tiêu chuẩn vận hành dịch vụ sau bán hàng của hãng; Đánh giá hoạt động bằng các chỉ số hoạt động dịch vụ'}",train
Sinh viên đã tính toán toán xuất sắc và Thể hiện hiểu biết sâu sắc về toán,CLO 2_ME2259,3.34,3,"['chọn', 'liệu', 'công', 'hành', 'hiệu']",0.821,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ME2259', 'original_clo_description': 'Sử dụng và lựa chọn được vật liệu hiệu quả trong công việc từ thiết kế, tính toán gia công, lắp ráp, vận hành'}",train
Sinh viên chưa xác định thức. Sử dụng thuật ngữ chưa đúng không đầy đủ,CLO 4_,1.3,1,[],0.601,negative,"{'template_used': 'Sinh viên chưa {action} {concept}. {detail} không đầy đủ', 'generation_method': 'synthetic_negative', 'course_code': '', 'original_clo_description': 'Có ý thức, thái độ học tập nghiêm túc, tích cực'}",train
Bài làm so sánh định và Kết luận chính xác và có căn cứ hoàn chỉnh,CLO4_,3.74,2,"['dạng', 'thông', 'thức', 'thay']",0.894,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': '', 'original_clo_description': ') và bố cục thành các chương như sau: Chương 1. Khái niệm chung về bản vẽ điện, điện tử: 3 (02 LT; 01 BT) Chương 2. Các ký hiệu, quy ước dùng trong bản vẽ điện, điện tử: 09 (06 LT; 03 BT) Chương 3. Vẽ sơ đồ điện: 12 (09 LT; 03 BT) Chương 4. Nguyên tắc chuyển đổi các dạng sơ đồ và dự trù vật tư: 06 (03 LT; 03 BT) Cụ thể: Điều chỉnh, bổ sung nội dung - Vẽ các ký hiệu điện, điện tử trong sơ đồ cung cấp điện ở chương 2 - Vẽ sơ đồ mặt bằng, sơ đồ vị trí; Vẽ sơ đồ nối dây; Vẽ sơ đồ đơn tuyến; Vẽ các sơ đồ điều khiển mạng điện công nghiệp ở chương 3 2. Ý kiến của các thành viên: Sau khi tìm hiểu, nghiên cứu và xem xét, các thành viên đều nhất trí với những nội dung trong cuộc họp đã được nêu ra trong quá trình xây dựng, điều chỉnh ĐCCT. Tuy nhiên cũng có một số ý kiến đóng góp xây dựng để ĐCCT hoàn thiện hơn: Ý kiến 1: Các nội dung kiến thức trong ĐCCT về cơ bản đã đáp ứng được các mục tiêu khi xây dựng chuẩn đầu ra của học phần. Tuy nhiên cần giới thiệu thêm các tài liệu tham khảo để người học dễ dàng tiếp cận. Ý kiến 2: Trong nội dung, bố cục ở các chương nên chia tách ra những tiểu mục nhỏ để người học dễ phân loại và tránh nhầm lẫn về kiến thức Ý kiến 3: Với thời lượng 2 tín chỉ có nên mở rộng thêm những kiến thức chuyên sâu liên quan đến nội dung về vẽ điện, mạch điện cụ thể không 3. Trả lời các câu hỏi đã được nêu: - Trả lời ý kiến 1: Đồng ý bổ sung thêm tài liệu tham khảo - Trả lời ý kiến 2: Ở nội dung chương 3 sẽ chia nhỏ thành các tiểu mục để dễ phân loại và tra cứu kiến thức - Trả lời ý kiến 3: Nội dung kiến thức về cơ bản đã đáp ứng được mục tiêu xây dựng chuẩn đầu ra của học phần nên không cần mở rộng thêm kiến thức chuyên sâu liên quan về vẽ điện, mạch điện cụ thể vì trong CTĐT sau khi học xong học phần này SV còn được học học phần vẽ điện, điện tử. 4. Kết luận: Sau khi nghe, tiếp thu và chỉnh sửa theo các ý kiến đóng góp của các thành viên, tổ trưởng tổ xây dựng, chỉnh sửa ĐCCT đã thay mặt các thành viên đưa ra kết luận. - Đề cương chi tiết học phần Vẽ kỹ thuật (ME2217) đạt các yêu cầu quy định đối với đề cương chi tiết học phần theo CTĐT đã ban hành - Biên bản thảo luận ĐCCT được tổ chuyên môn nhất trí thông qua là cơ sở để đề xuất lên Hội đồng KH&ĐT Nhà trường xem xét ban hành sử dụng. Phiên họp kết thúc vào hồi 11 giờ 00, ngày 21 tháng 08 năm 2023. Các thành viên trong cuộc họp 100% nhất trí theo kết luận cuộc họp.'}",train
Báo cáo thể hiện tiếng chính xác. hiểu Áp dụng kiến thức ATE3269 một cách hiệu quả,CLO 3_ATE3269,3.53,2,"['hiểu', 'ngành', 'nghiên', 'tiếng']",0.905,positive,"{'template_used': 'Báo cáo thể hiện {concept} {quality}. {action} {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'ATE3269', 'original_clo_description': 'Có tư duy nghiên cứu và đọc hiểu các tài liệu Tiếng Anh chuyên ngành'}",train
Sinh viên giải thích dùng một cách đầy đủ. Áp dụng kiến thức AET3226 ở mức độ cơ bản,CLO 1_AET3226,2.37,2,['chức'],0.711,neutral,"{'template_used': 'Sinh viên {action} {concept} một cách {quality}. {detail}', 'generation_method': 'synthetic_neutral', 'course_code': 'AET3226', 'original_clo_description': 'Hiểu rõ chức năng vai trò các loại xe chuyên dùng trong ngành giao thông vận tải'}",train
Bài làm mô tả nghề và Áp dụng kiến thức AET3224 một cách hiệu quả rõ ràng,CLO 4_AET3224,3.5,2,"['thiết', 'nhân', 'chuyên', 'nghiệp']",0.811,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3224', 'original_clo_description': 'Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề'}",train
Sinh viên đã so sánh nhân xuất sắc và Kết luận chính xác và có căn cứ,CLO 4_AET3273,3.08,2,"['năng', 'nghiệp', 'hình']",0.834,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3273', 'original_clo_description': 'Kỹ năng chuyên nghiệp, phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề.'}",train
